IDS_DATE,Day,Rooms,OOO,StayOver,Arrivals,DueOut,Available,Group Block,Group Picked Up,TransNGTD,TransGTD,Occupied,OccPercent,RoomRev,RevPAR,ADR,Ppl
1/1/2022,Sat,47,3,14,11,20,30,,,,,14,34.09%,"1,064.69",24.2,70.98,22 / 0
1/2/2022,Sun,47,3,14,7,7,30,,,,,14,31.82%,"1,106.39",25.15,79.03,20 / 0
1/3/2022,Mon,47,3,15,9,8,29,,,,,15,34.09%,"1,080.21",24.55,72.01,23 / 0
1/4/2022,Tue,47,4,27,21,9,16,,,,,27,67.44%,"2,210.27",51.4,76.22,43 / 2
1/5/2022,Wed,47,5,19,10,18,23,,,,,19,47.62%,"1,495.89",35.62,74.79,29 / 0
1/6/2022,Thu,47,6,18,8,9,23,,,,,18,43.90%,"1,381.49",33.69,76.75,27 / 0
1/7/2022,Fri,47,6,14,7,11,27,,,,,14,34.15%,"1,101.03",26.85,78.65,20 / 0
1/8/2022,Sat,47,6,17,10,7,24,,,,,17,41.46%,"1,382.52",33.72,81.32,28 / 0
1/9/2022,Sun,47,5,13,6,10,29,,,,,13,30.95%,"1,040.82",24.78,80.06,22 / 0
1/10/2022,Mon,47,4,18,11,6,25,,,,,18,41.86%,"1,478.05",34.37,82.11,27 / 0
1/11/2022,Tue,47,5,18,12,12,24,,,,,18,42.86%,"1,460.27",34.77,81.13,23 / 0
1/12/2022,Wed,47,5,15,6,9,27,,,,,15,35.71%,"1,174.63",27.97,78.31,18 / 0
1/13/2022,Thu,47,5,15,7,7,27,,,,,15,35.71%,"1,188.47",28.3,79.23,18 / 0
1/14/2022,Fri,47,5,13,7,9,29,,,,,13,30.95%,"1,045.93",24.9,80.46,18 / 0
1/15/2022,Sat,47,2,18,11,6,27,,,,,18,40.00%,"1,316.61",29.26,73.15,25 / 0
1/16/2022,Sun,47,4,19,11,10,24,,,,,19,44.19%,"1,511.43",35.15,79.55,29 / 0
1/17/2022,Mon,47,4,16,9,12,27,,,,,16,37.21%,"1,306.37",30.38,81.65,24 / 0
1/18/2022,Tue,47,2,20,15,11,25,,,,,20,46.67%,"1,553.09",34.51,73.96,33 / 0
1/19/2022,Wed,47,3,19,11,12,25,,,,,19,43.18%,"1,508.24",34.28,79.38,29 / 0
1/20/2022,Thu,47,3,16,9,12,28,,,,,16,36.36%,"1,240.26",28.19,77.52,24 / 0
1/21/2022,Fri,47,4,15,8,9,28,,,,,15,34.88%,"1,184.82",27.55,78.99,21 / 0
1/22/2022,Sat,47,4,18,10,7,25,,,,,18,41.86%,"1,376.97",32.02,76.5,25 / 1
1/23/2022,Sun,47,6,16,8,10,25,,,,,16,39.02%,"1,231.28",30.03,76.96,21 / 0
1/24/2022,Mon,47,5,13,4,7,29,,,,,13,30.95%,"1,155.33",27.51,88.87,17 / 0
1/25/2022,Tue,47,5,18,11,6,24,,,,,18,42.86%,"1,276.51",30.39,70.92,21 / 0
1/26/2022,Wed,47,5,16,7,9,26,,,,,16,38.10%,"1,146.23",27.29,71.64,19 / 0
1/27/2022,Thu,47,4,18,8,6,25,,,,,18,41.86%,"1,212.73",28.2,67.37,21 / 0
1/28/2022,Fri,47,4,14,10,14,29,,,,,14,32.56%,"1,098.48",25.55,78.46,18 / 0
1/29/2022,Sat,47,4,12,8,10,31,,,,,12,27.91%,904.72,21.04,75.39,15 / 0
1/30/2022,Sun,47,5,10,8,10,32,,,,,10,23.81%,752.22,17.91,75.22,13 / 0
1/31/2022,Mon,47,4,9,6,7,34,,,,,9,20.93%,626.92,14.58,69.66,Dec-00
2/1/2022,Tue,47,4,17,13,5,26,,,,,17,39.53%,"1,238.31",28.8,72.84,23 / 0
2/2/2022,Wed,47,4,14,9,12,29,,,,,14,32.56%,889.84,20.69,63.56,19 / 0
2/3/2022,Thu,47,4,15,8,7,28,,,,,15,34.88%,"1,035.34",24.08,69.02,20 / 0
2/4/2022,Fri,47,5,12,5,8,30,,,,,12,28.57%,793.22,18.89,66.1,15 / 0
2/5/2022,Sat,47,2,14,6,4,31,,,,,14,31.11%,"1,057.05",23.49,75.5,19 / 0
2/6/2022,Sun,47,5,21,13,6,21,,,,,21,50.00%,"1,542.79",36.73,73.47,33 / 0
2/7/2022,Mon,47,9,21,10,10,17,,,,,21,55.26%,"1,449.71",38.15,69.03,32 / 0
2/8/2022,Tue,47,10,20,7,8,17,,,,,20,54.05%,"1,418.87",38.35,70.94,29 / 0
2/9/2022,Wed,47,11,24,7,3,12,,,,,24,66.67%,"1,725.41",47.93,71.89,34 / 0
2/10/2022,Thu,47,5,19,5,10,23,,,,,19,45.24%,"1,382.58",32.92,72.77,28 / 0
2/11/2022,Fri,47,5,20,9,8,22,,,,,20,47.62%,"1,423.95",33.9,71.2,30 / 0
2/12/2022,Sat,47,5,21,8,7,21,,,,,21,50.00%,"1,537.97",36.62,73.24,31 / 0
2/13/2022,Sun,47,5,20,9,10,22,,,,,20,47.62%,"1,397.77",33.28,69.89,28 / 0
2/14/2022,Mon,47,5,16,11,15,26,,,,,16,38.10%,"1,249.13",29.74,78.07,21 / 0
2/15/2022,Tue,47,5,13,7,10,29,,,,,13,30.95%,966.89,23.02,74.38,16 / 0
2/16/2022,Wed,47,5,16,8,5,26,,,,,16,38.10%,"1,174.01",27.95,73.38,21 / 1
2/17/2022,Thu,47,5,16,6,6,26,,,,,16,38.10%,"1,401.63",33.37,87.6,22 / 0
2/18/2022,Fri,47,5,15,8,9,27,,,,,15,35.71%,"1,013.91",24.14,67.59,20 / 0
2/19/2022,Sat,47,3,31,24,8,13,,,,,31,70.45%,"2,443.46",55.53,78.82,50 / 4
2/20/2022,Sun,47,3,25,14,20,19,,,,,25,56.82%,"1,892.48",43.01,75.7,40 / 2
2/21/2022,Mon,47,3,10,5,20,34,,,,,10,22.73%,753.4,17.12,75.34,15 / 0
2/22/2022,Tue,47,3,12,9,7,32,,,,,12,27.27%,929.82,21.13,77.49,18 / 1
2/23/2022,Wed,47,4,14,6,4,29,,,,,14,32.56%,"1,072.93",24.95,76.64,19 / 0
2/24/2022,Thu,47,4,13,7,8,30,,,,,13,30.23%,959.12,22.31,73.78,20 / 0
2/25/2022,Fri,47,4,17,12,8,26,,,,,17,39.53%,"1,302.27",30.29,76.6,27 / 1
2/26/2022,Sat,47,4,22,10,5,21,,,,,22,51.16%,"2,115.17",49.19,96.14,34 / 1
2/27/2022,Sun,47,3,15,6,13,29,,,,,15,34.09%,"1,213.27",27.57,80.88,21 / 0
2/28/2022,Mon,47,3,17,12,10,27,,,,,17,38.64%,"1,285.57",29.22,75.62,25 / 0
3/1/2022,Tue,47,4,20,12,9,23,,,,,20,46.51%,"1,593.70",37.06,79.69,32 / 0
3/2/2022,Wed,47,6,9,5,16,32,,,,,9,21.95%,609.69,14.87,67.74,13 / 0
3/3/2022,Thu,47,4,17,13,5,26,,,,,17,39.53%,"1,296.75",30.16,76.28,30 / 0
3/4/2022,Fri,47,6,21,15,11,20,,,,,21,51.22%,"1,655.05",40.37,78.81,40 / 1
3/5/2022,Sat,47,6,24,13,10,17,,,,,24,58.54%,"1,997.43",48.72,83.23,43 / 1
3/6/2022,Sun,47,5,14,4,14,28,,,,,14,33.33%,948.94,22.59,67.78,23 / 1
3/7/2022,Mon,47,4,24,14,4,19,,,,,24,55.81%,"1,868.68",43.46,77.86,39 / 0
3/8/2022,Tue,47,4,20,11,15,23,,,,,20,46.51%,"1,536.00",35.72,76.8,30 / 0
3/9/2022,Wed,47,4,21,12,11,22,,,,,21,48.84%,"1,508.53",35.08,71.83,31 / 0
3/10/2022,Thu,47,4,23,10,8,20,,,,,23,53.49%,"1,725.34",40.12,75.01,37 / 0
3/11/2022,Fri,47,4,36,22,9,7,,,,,36,83.72%,"3,046.66",70.85,84.63,59 / 2
3/12/2022,Sat,47,4,30,13,19,13,,,,,30,69.77%,"2,612.99",60.77,87.1,47 / 2
3/13/2022,Sun,47,4,32,17,15,11,,,,,32,74.42%,"2,452.04",57.02,76.63,51 / 4
3/14/2022,Mon,47,5,23,11,20,19,,,,,23,54.76%,"1,788.61",42.59,77.77,38 / 6
3/15/2022,Tue,47,6,34,21,10,7,,,,,34,82.93%,"2,728.64",66.55,80.25,53 / 7
3/16/2022,Wed,47,3,37,16,13,7,,,,,37,84.09%,"3,141.11",71.39,84.89,55 / 3
3/17/2022,Thu,47,3,38,21,20,6,,,,,38,86.36%,"3,222.51",73.24,84.8,60 / 5
3/18/2022,Fri,47,5,41,22,19,1,,,,,41,97.62%,"3,388.09",80.67,82.64,70 / 5
3/19/2022,Sat,47,8,38,12,15,1,,,,,38,97.44%,"2,996.13",76.82,78.85,67 / 5
3/20/2022,Sun,47,5,18,7,27,24,,,,,18,42.86%,"1,389.44",33.08,77.19,33 / 6
3/21/2022,Mon,47,5,20,10,8,22,,,,,20,47.62%,"1,693.95",40.33,84.7,34 / 2
3/22/2022,Tue,47,6,27,13,6,14,,,,,27,65.85%,"2,432.42",59.33,90.09,46 / 3
3/23/2022,Wed,47,6,26,13,14,15,,,,,26,63.41%,"1,960.12",47.81,75.39,43 / 0
3/24/2022,Thu,47,5,26,6,6,16,,,,,26,61.90%,"2,257.29",53.75,86.82,42 / 2
3/25/2022,Fri,47,6,36,21,11,5,,,,,36,87.80%,"3,293.94",80.34,91.5,65 / 5
3/26/2022,Sat,47,4,43,21,14,0,,,,,43,100.00%,"4,147.45",96.45,96.45,80 / 6
3/27/2022,Sun,47,21,25,14,32,1,,,,,25,96.15%,"2,411.64",92.76,96.47,43 / 2
3/28/2022,Mon,47,5,29,13,9,13,,,,,29,69.05%,"2,844.75",67.73,98.09,46 / 2
3/29/2022,Tue,47,5,25,7,11,17,,,,,25,59.52%,"2,382.14",56.72,95.29,39 / 4
3/30/2022,Wed,47,5,29,16,12,13,,,,,29,69.05%,"2,956.25",70.39,101.94,48 / 4
3/31/2022,Thu,47,4,32,15,12,11,,,,,32,74.42%,"3,176.83",73.88,99.28,53 / 3
4/1/2022,Fri,47,13,34,21,19,0,,,,,34,100.00%,"3,605.25",106.04,106.04,60 / 3
4/2/2022,Sat,47,6,41,17,10,0,,,,,41,100.00%,"4,843.78",118.14,118.14,76 / 6
4/3/2022,Sun,47,4,24,11,28,19,,,,,24,55.81%,"2,586.27",60.15,107.76,45 / 0
4/4/2022,Mon,47,4,26,17,15,17,,,,,26,60.47%,"2,826.47",65.73,108.71,46 / 0
4/5/2022,Tue,47,5,22,7,11,20,,,,,22,52.38%,"2,286.90",54.45,103.95,36 / 0
4/6/2022,Wed,47,5,26,14,10,16,,,,,26,61.90%,"2,575.49",61.32,99.06,44 / 0
4/7/2022,Thu,47,4,33,19,12,10,,,,,33,76.74%,"3,375.03",78.49,102.27,52 / 0
4/8/2022,Fri,47,3,33,21,21,11,,,,,33,75.00%,"3,031.62",68.9,91.87,52 / 2
